# पैटर्न	वर्ग	नाम	कैसे इंस्टॉल करें	क्या बदलता है
#
# Windows के प्रोग्राम का काम करने वाले Linux प्रोग्राम। हिन्दी।
# alternativas.tsv (पुर्तगाली) मूल है और वापसी का सहारा भी: यहाँ कोई पंक्ति
# छूट जाए तो वह गलती नहीं है — वह पंक्ति पुर्तगाली में पढ़ी जाएगी।
#

*teamviewer*	nativo	Linux के लिए TeamViewer	teamviewer.com/en/download/linux/ से डाउनलोड कीजिए	यह वही TeamViewer है, Linux का आधिकारिक संस्करण
*anydesk*	nativo	Linux के लिए AnyDesk	anydesk.com/en/downloads/linux से डाउनलोड कीजिए	यह वही AnyDesk है, Linux का आधिकारिक संस्करण
*rustdesk*	nativo	Linux के लिए RustDesk	rustdesk.com से डाउनलोड कीजिए	यह वही RustDesk है, Linux का आधिकारिक संस्करण
*chrome*	nativo	Google Chrome	google.com/chrome से डाउनलोड कीजिए	यह वही Chrome है, Linux का आधिकारिक संस्करण
*firefox*	nativo	Firefox	Zorin में पहले से आता है	यह वही Firefox है
*zoom*	nativo	Linux के लिए Zoom	zoom.us/download से डाउनलोड कीजिए	यह वही Zoom है, Linux का आधिकारिक संस्करण
*skype*	nativo	Linux के लिए Skype	sudo snap install skype	यह वही Skype है, Linux का आधिकारिक संस्करण
*spotify*	nativo	Linux के लिए Spotify	sudo snap install spotify	यह वही Spotify है, Linux का आधिकारिक संस्करण
*vlc*	nativo	VLC	sudo apt install vlc	यह वही VLC है
*obs*studio*	nativo	OBS Studio	sudo apt install obs-studio	यह वही OBS Studio है
*audacity*	nativo	Audacity	sudo apt install audacity	यह वही Audacity है
*blender*	nativo	Blender	sudo apt install blender	यह वही Blender है
*inkscape*	nativo	Inkscape	sudo apt install inkscape	यह वही Inkscape है
*gimp*	nativo	GIMP	sudo apt install gimp	यह वही GIMP है
*libreoffice*	nativo	LibreOffice	Zorin में पहले से आता है	यह वही LibreOffice है
*thunderbird*	nativo	Thunderbird	sudo apt install thunderbird	यह वही Thunderbird है
*filezilla*	nativo	FileZilla	sudo apt install filezilla	यह वही FileZilla है
*putty*	nativo	PuTTY	sudo apt install putty	यह वही PuTTY है; Linux में टर्मिनल खुद ही SSH कर लेता है, अलग प्रोग्राम की ज़रूरत नहीं
